DATE,CDC20N2UAA041017
1999-01-01,312.1
2000-01-01,312.2
2001-01-01,329.5
2002-01-01,314.8
2003-01-01,296.2
2004-01-01,262.5
2005-01-01,281.0
2006-01-01,277.8
2007-01-01,258.7
2008-01-01,281.1
2009-01-01,258.0
2010-01-01,282.5
2011-01-01,259.0
2012-01-01,268.2
2013-01-01,246.4
2014-01-01,253.4
2015-01-01,258.3
2016-01-01,238.1
2017-01-01,233.1
2018-01-01,226.9
2019-01-01,229.1
2020-01-01,241.9
