,lower,lower,lower,lower,lower,lower,lower,lower,lower,upper,upper,upper,upper,upper,upper,upper,upper,upper,val,val,val,val,val,val,val,val,val
measure,Deaths,Deaths,Deaths,Incidence,Incidence,Incidence,Prevalence,Prevalence,Prevalence,Deaths,Deaths,Deaths,Incidence,Incidence,Incidence,Prevalence,Prevalence,Prevalence,Deaths,Deaths,Deaths,Incidence,Incidence,Incidence,Prevalence,Prevalence,Prevalence
cause,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Asthma,Chronic obstructive pulmonary disease,Chronic respiratory diseases
year,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,0.23138377750278286,4.002166843140435,4.6603611971938825,101.07081605750007,27.11070430452599,192.48634029497504,840.6837343608713,437.7465892953393,1197.6211306770308,0.2936613564747302,4.687583494827285,5.506495833468118,159.39725089848196,31.485151759404346,259.24920535515855,1167.668973530602,507.4029950187079,1498.5591038725165,0.2607990537181869,4.352008186181163,5.066918386093233,127.11937243575535,29.4315954094652,222.73868594315763,982.0167664625917,475.0813230592892,1329.252444036701
1991,0.22860335540850696,4.0483266904675075,4.716631781216612,94.74462705282949,27.48893530050507,181.661281727236,777.8027325126061,443.59696816891585,1151.583639785133,0.2877107051269071,4.718959448549553,5.503519355800048,147.58549057063777,31.827496348055053,240.00749284502416,1061.2749409222708,512.7774583401738,1406.8998623149396,0.2581529458457324,4.40606318053217,5.126561802717181,117.75008857595397,29.793294475340122,208.50236028739192,899.3410408819336,481.4461873208097,1264.8450251493864
1992,0.2326492687024641,4.150964254375799,4.830276906896467,88.10651798837884,27.871973588237175,171.7652664378908,717.2525967385938,449.53289218822886,1108.716093562011,0.2914755081382692,4.859354390850536,5.666359905655754,134.92910937034745,32.17450300366075,224.29782236398947,964.6183965078546,518.679638973136,1335.316891731191,0.26147426188505973,4.547596905492751,5.286947539143137,109.42037752921445,30.183304108232402,195.87584232105007,825.9513282178556,487.3336202492267,1207.3569097783961
1993,0.23686276311536242,4.372052975495928,5.0900530157200805,83.12749272455136,28.227037709325412,163.25110650865108,667.0892393813817,454.20297241826955,1066.369612312086,0.2999178194912015,5.172981790969828,6.003831160738166,124.3977738613062,32.60419243551721,211.6719392065748,885.4346859171328,523.0292369077355,1281.6100048994601,0.26871767181775547,4.840283565336504,5.610785299575231,102.43364909095779,30.550105982417996,185.43595521304664,765.2344776767077,492.1504951031734,1160.0790644079177
1994,0.23726300415315657,4.396273233720024,5.122872221174935,79.53644331503762,28.50301461493989,156.47946673969244,627.0117180409904,457.5155810957555,1039.180122602114,0.3010450370948225,5.258666450615472,6.1004360495115355,117.33550597848755,32.952848486933945,202.18560837677975,838.4391451621398,526.4068861174567,1231.8339267832173,0.27020740772033436,4.907768160144014,5.690183259877024,97.12449774781165,30.839319561127496,177.79104166515756,720.5844322119946,495.24233864603167,1125.107384197945
1995,0.23649965216142946,4.433905119118447,5.147540766834817,76.9058860297271,28.84059275728792,152.78841127334698,607.6825814473116,459.86941700612385,1023.2635647633276,0.2989115758730517,5.353154505809178,6.1847211666429995,113.71720889612077,33.34968125320344,197.7380019556988,804.6642653609235,529.6266704573889,1211.559132718065,0.26992614273616744,4.994573662844393,5.7895071879654765,93.88548602157393,31.160244917751907,173.9288160787936,695.7503772787285,498.28899674491487,1106.9477218620368
1996,0.23546553188166444,4.580097465540752,5.315226052188457,75.44563986752907,29.194909080683914,152.45837015241923,600.3280490711028,464.0858456763441,1019.5042479246179,0.29821917864572656,5.563818367340858,6.42435025014391,111.86201595318741,33.60313406680514,196.20155634108423,795.0370104036064,533.5992512491445,1205.4865092798168,0.2671867644343732,5.178849172869372,5.991149987140437,92.30367037173076,31.4898025303276,172.9171823567362,686.964532634152,500.8323638959961,1102.9153482852212
1997,0.22528461128743782,4.530252625581884,5.220903588967119,74.86797135248217,29.611085847459957,152.4871180342269,602.2061188032034,468.78907048430875,1025.7301101058279,0.2908325337824345,5.587028077305962,6.4625426217003765,111.41763321783883,34.01744266407433,196.52347500443278,794.1011030549805,537.2438966137058,1207.4015999877822,0.25975228704473313,5.189438381990043,5.999809260871862,91.47808501277254,31.878434584297764,173.21873662622755,686.2654915640485,504.30004710127133,1107.478829966254
1998,0.2173737993047872,4.602450980108598,5.302754112789281,74.60150115180622,30.02794566860161,153.2564956243329,607.9560686187247,471.91962479018366,1033.4551115807371,0.28539274685657307,5.728161005081263,6.6081618699623,111.51630674046037,34.40367345676325,197.7579206796542,798.2660061295123,540.9050916133672,1217.7404393367265,0.2537070569906932,5.340766530831091,6.169440921970343,91.18731996897468,32.29873952515162,174.32054632208752,690.2359205386628,507.8217501788857,1115.8984830558638
1999,0.19850582444198167,4.617171169290364,5.255215773987917,74.34330885656843,30.46114976664374,154.23836932112005,612.4918896167386,473.99537575143074,1040.3198540358903,0.2630595910849161,5.826043117290549,6.6828341267183955,111.92182552351441,34.73155633570988,199.4988054383332,804.0832277487939,542.2974335911506,1225.5378482636365,0.23390985862004138,5.398486190668306,6.221110871106122,91.15319330999567,32.649703382361835,175.53514213064457,695.436992327984,509.77358839078613,1123.5526120096238
